nombre,es_solista,ciudad,pais,referencia
Duki,True,Buenos Aires,Argentina,https://open.spotify.com/artist/1bAftSH8umNcGZ0uyV7LMg?si=166caaa100af4e4c
Kanye West,True,Georgia,Estados Unidos,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x?si=4gL5E96QQXWsl8oJhj_eiQ
Travis Scott,True,Houston,Estados Unidos,https://open.spotify.com/intl-es/artist/0Y5tJX1MQlPlqiwlOH1tJY?si=Bbe2EOPuQq2FKXKmgY6fUA
Drake,True,Toronto,Canada,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4?si=0kbYlc-KSs6PTVZPLMS78w
