nombre,es_solista,ciudad,pais,referencia
William Campbell,False,La Plata,Argentina,www.instagram.com/williamcampbellok
Marcos Fava,True,La Plata,Argentina,https://open.spotify.com/intl-es/artist/2risap4rX5qNM54Gdiiuf1
Ed Sheeran,True,Halifax,Reino Unido,https://open.spotify.com/intl-es/artist/6eUKZXaKkcviH0Ku9w2n3V
INXS,False,Sidney,Australia,https://open.spotify.com/intl-es/artist/1eClJfHLoDI4rZe5HxzBFv?si=b-EIpUpNTqqhmM26k6mB4w
La Ley,False,Santiago,Chile,https://open.spotify.com/intl-es/artist/1ZVoRDO29AlDXiMkRLMZSK?si=j22YWc1wQByyODfT25Md7w
Héroes del Silencio,False,Zaragoza,España,https://open.spotify.com/intl-es/artist/3qAPxVwIQRBuz5ImPUxpZT?si=6o_JpVtBQSy44N0lzn_73A
Panza,False,Buenos Aires,Argentina,https://open.spotify.com/intl-es/artist/5FamANEkN5PMHyr3UuvpDd?si=o7dnBnOlRbWq70s39fsBTw
Adele,True,Tottenham,Reino Unido,https://open.spotify.com/intl-es/artist/4dpARuHxo51G3z768sgnrY?si=co6Jp1hyS76SjQfbCEY5Rw
